Start_Date,Loan Size,Repayment day,Loan Status,Loan Term,Loan Market,Amount lent,Lender rate (after loan servicing fee),Capital outstanding,Amount repaid,Amount in arrears
04/10/08,1000,1,Closed,36,A*,10,0.074,0,10.74,0
23/11/08,2000,23,Closed,36,A*,10,0.088,0,10.88,0
17/03/09,5000,17,Closed,36,A*,10,0.063,0,10.63,0
12/04/09,10000,12,Closed,36,A*,50,0.06,0,53,0
13/04/09,15000,13,Closed,36,A*,50,0.06,0,53,0
15/04/09,20000,15,Closed,36,A*,50,0.06,0,53,0
15/04/09,25000,15,Closed,36,A*,50,0.06,0,53,0
15/04/09,1000,15,Closed,36,A*,50,0.06,0,53,0
16/04/09,2000,16,Closed,36,A*,50,0.06,0,53,0
20/04/09,5000,20,Closed,36,A*,50,0.06,0,53,0
21/04/09,10000,21,Closed,36,A*,50,0.06,0,53,0
21/04/09,15000,21,Closed,36,A*,50,0.06,0,53,0
22/04/09,20000,22,Closed,36,A*,50,0.06,0,53,0
26/04/09,25000,26,Closed,36,A*,50,0.06,0,53,0
27/04/09,1000,27,Closed,36,A*,50,0.06,0,53,0
28/04/09,2000,28,Closed,36,A*,50,0.06,0,53,0
29/04/09,5000,29,Closed,36,A*,50,0.06,0,53,0
23/11/09,10000,23,Closed,36,A*,100,0.069,0,112.21,0
23/11/09,15000,23,Closed,36,A,100,0.074,0,111,0
24/11/09,20000,24,Closed,36,A,100,0.074,0,109.81,0
24/11/09,25000,24,Closed,36,B,100,0.084,0,114.51,0
24/11/09,1000,24,Closed,36,A*,100,0.069,0,111.17,0
24/11/09,2000,24,Closed,36,A,100,0.074,0,112.67,0
24/11/09,5000,24,Closed,36,A*,100,0.069,0,111.71,0
24/11/09,10000,24,Closed,36,B,100,0.084,0,114.85,0
24/11/09,15000,24,Closed,36,A*,100,0.069,0,107.54,0
25/11/09,20000,25,Closed,36,A,100,0.074,0,105.44,0
27/11/09,25000,27,Closed,36,A,100,0.074,0,112.88,0
28/11/09,1000,28,Closed,36,A*,100,0.069,0,111.82,0
29/11/09,2000,29,Closed,36,A*,100,0.069,0,111.16,0
30/11/09,5000,30,Closed,36,A,100,0.074,0,105.12,0
30/11/09,10000,30,Closed,36,B,100,0.084,0,114.44,0
30/11/09,15000,30,Closed,36,B,100,0.084,0,114.33,0
01/12/09,20000,1,Closed,36,A*,100,0.069,0,111.09,0
01/12/09,25000,1,Closed,36,A*,100,0.069,0,108.63,0
08/12/09,1000,2,Closed,36,B,100,0.084,0,101.3,0
27/12/09,2000,27,Closed,36,B,100,0.084,0,114.41,0
07/01/10,5000,2,Closed,36,B,40,0.084,0,45.4,0
25/01/10,10000,25,Default,36,B,10,0.084,1.99146948,9.49,0
03/02/10,15000,1,Closed,36,B,30,0.084,0,34.51,0
09/02/10,20000,2,Closed,36,B,10,0.084,0,11.27,0
09/02/10,25000,2,Closed,36,B,90,0.084,0,99.5,0
09/02/10,1000,2,Closed,36,B,20,0.084,0,21.85,0
11/02/10,2000,11,Closed,36,B,10,0.084,0,11.46,0
27/02/10,5000,27,Closed,36,A*,40,0.074,0,42.96,0
01/03/10,10000,1,Closed,36,A*,50,0.077,0,53.85,0
01/03/10,15000,1,Closed,36,A*,10,0.069,0,11.01,0
04/03/10,20000,1,Closed,36,B,30,0.084,0,31.98,0
08/03/10,25000,2,Closed,36,Y,10,0.101,0,11.72,0
10/03/10,1000,4,Closed,36,A*,10,0.069,0,11.25,0
17/03/10,2000,17,Closed,36,Y,10,0.101,0,11.69,0
18/03/10,5000,18,Closed,36,A*,10,0.069,0,11.06,0
29/03/10,10000,29,Closed,36,A*,10,0.067,0,10.67,0
08/04/10,15000,2,Closed,36,Y,50,0.101,0,53.17,0
09/04/10,20000,2,Closed,36,A*,10,0.069,0,10.73,0
09/04/10,25000,2,Closed,36,Y,10,0.101,0,11.45,0
19/04/10,1000,19,Closed,36,A*,10,0.067,0,10.67,0
12/05/10,2000,12,Closed,36,Y,50,0.101,0,58.3,0
14/05/10,5000,14,Closed,36,B,30,0.084,0,34.34,0
19/05/10,10000,19,Closed,36,B,10,0.084,0,10.32,0
02/06/10,15000,1,Closed,36,B,10,0.084,0,11.5,0
03/06/10,20000,1,Closed,36,Y,20,0.101,0,23.49,0
21/06/10,25000,21,Closed,36,B,30,0.084,0,34.42,0
28/06/10,1000,28,Closed,60,A,20,0.085,0,21.7,0
29/06/10,2000,29,Closed,36,B,10,0.084,0,11.44,0
03/07/10,5000,1,Default,36,B,20,0.084,18.53611675,4.35,0
13/07/10,10000,13,Closed,36,A*,10,0.069,0,11.29,0
16/07/10,15000,16,Closed,36,A*,30,0.069,0,32.12,0
25/07/10,20000,25,Closed,36,B,10,0.084,0,11.43,0
29/07/10,25000,29,Closed,36,B,10,0.084,0,11.41,0
08/08/10,1000,2,Closed,36,A*,30,0.066,0,31.98,0
